kind,etag,id,content_details_video_id,content_details_video_published_at
youtube#playlistItem,Kow9p5mXAkXs8c2yOjov45_L2Wg,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLktjOXRKX1RjVUNz,Kc9tJ_TcUCs,2020-12-22T07:00:02Z
youtube#playlistItem,VRhWdiy8862L1gs3WLbwQFoLxcI,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLnhnUnZlMlpoMlJN,xgRve2Zh2RM,2020-12-21T05:30:07Z
youtube#playlistItem,ddcNCWFhJ1xbuHuTRM1RdSmbt-U,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmpzbHJOYnpyMDJB,jslrNbzr02A,2020-12-18T05:30:03Z
youtube#playlistItem,lb7nqlCGHdYFQVFGB_Im8F76kOw,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLl9IX1ZhcTJIUHZz,_H_Vaq2HPvs,2020-12-17T05:30:01Z
youtube#playlistItem,-f4UtCyBYl-KDHP8l0zy85X5xXk,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLm9VaEZwYW4zdlZZ,oUhFpan3vVY,2020-12-16T09:30:03Z
youtube#playlistItem,5q1gS1M8c5diK_M4nlRebTG1oe0,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmFpcGpYU1FjOHk0,aipjXSQc8y4,2020-12-16T05:30:00Z
youtube#playlistItem,bZh8du-gY_hgvjoF3GpqdJsykQk,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmgyeklidDhXb09r,h2zIbt8WoOk,2020-12-15T05:30:06Z
youtube#playlistItem,2S60JzI9dzmE96WWQZiJMisCvKs,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLnlwYmc2cTBKUUM4,ypbg6q0JQC8,2020-12-14T05:30:02Z
youtube#playlistItem,jTfphUiI7dVxSsVEO3Yj7jvtsy4,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLlEzS2VYTm94SlI0,Q3KeXNoxJR4,2020-12-11T05:30:01Z
youtube#playlistItem,72BIBK9Bj4c5RD7wHcJkO5iRTdM,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLndPRjJrdDJHWW9F,wOF2kt2GYoE,2020-12-10T05:30:03Z
youtube#playlistItem,KfgJI6CBPJiRj0fvnX9HnkopGSU,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkFDR05qZkNqeUNv,ACGNjfCjyCo,2020-12-09T09:21:00Z
youtube#playlistItem,mUnpKPPiPLqvLZoJtj6SCsLqp1I,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkZuYnNYMTRDd0hv,FnbsX14CwHo,2020-12-09T05:30:01Z
youtube#playlistItem,GjzEFYuHN767f63Sw7ILezOOsVE,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmctbXhSRkRfSEpF,g-mxRFD_HJE,2020-12-08T05:30:03Z
youtube#playlistItem,j01RdiMuS9uj4fLtdC_3o2Jn2pc,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkQtdW1INUFaZzFn,D-umH5AZg1g,2020-12-07T05:30:00Z
youtube#playlistItem,Op3ns74KmC7znWcF3W7DpwhMY1s,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmdiTjJyZFZIWGhN,gbN2rdVHXhM,2020-12-04T05:30:02Z
youtube#playlistItem,FZWojWQcrzHgAyVunLxFOeY0mCs,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLlh0dWhjYUN3dDRv,XtuhcaCwt4o,2020-12-03T05:30:02Z
youtube#playlistItem,o3e8ZXd2CykdJkKw4ajSJszmIBU,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjJnRE9PZmR5bGtV,2gDOOfdylkU,2020-12-02T07:30:00Z
youtube#playlistItem,jl9_SPZuW4WGG_5XrXIaBmwcWPk,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLlY0NzR4a1N0cTBJ,V474xkStq0I,2020-12-02T05:30:02Z
youtube#playlistItem,Iw-HMhD9bBoHmtbk2pGgRFpOyts,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmdBb25hS3E0Y3V3,gAonaKq4cuw,2020-12-01T05:30:02Z
youtube#playlistItem,0rQ98VRP3vTzKPFjV8C-nv3C3co,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkRrcmhWYVNpZDA4,DkrhVaSid08,2020-11-30T05:30:00Z
youtube#playlistItem,uqd_xlqo79EcpXerwEU-G4w_b6c,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjVsakdJZE5OeGtj,5ljGIdNNxkc,2020-11-26T08:53:51Z
youtube#playlistItem,TXfSXeKsbuxEhkWyju6ooHZLegI,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLnMzMk9aZXYyQlVB,s32OZev2BUA,2020-11-25T11:22:02Z
youtube#playlistItem,K-SgnBFp6it3-Ed_uLaGbYO40r4,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLl9FMUNxZHZkY2ZN,_E1CqdvdcfM,2020-11-25T11:16:39Z
youtube#playlistItem,2lOYFKqHZe6Sq1UleAAKGdwSi6U,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjZYa2R4RW9uWlI0,6XkdxEonZR4,2020-11-24T09:39:31Z
youtube#playlistItem,03NgwT6jm7XSvVngiHC6HmMeFCY,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkU2WDF5QUhqNUxR,E6X1yAHj5LQ,2020-11-23T09:26:49Z
youtube#playlistItem,618kmvi8tzXqp5yjVvU-t4lzsDU,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkNSRzJmOXBFRDFB,CRG2f9pED1A,2020-11-19T08:59:34Z
youtube#playlistItem,9C53ZAasgoclHE3Or-ri28QdNaI,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLjlLLTBKSmZiSUpN,9K-0JJfbIJM,2020-11-18T09:59:42Z
youtube#playlistItem,v1Nagco5booUW_xnv4fBXbwcgCE,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLkFvMlFiSGd3U3BV,Ao2QbHgwSpU,2020-11-18T09:54:45Z
youtube#playlistItem,3ZquXN63JquJIO_NWiuvmctGkZM,VVVxLWIwZHdXOTdZUlpXZ1NDaWtXUVJBLmhyQTBTZVNJODNV,hrA0SeSI83U,2020-11-17T10:19:57Z
